City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Tasiilaq,65.6145,-37.6368,-3.91,88,100,11.47,GL,1675552793
81,Opunake,-39.4556,173.8583,23.25,75,71,7.22,NZ,1675552794
82,Faanui,-16.4833,-151.75,27.54,73,56,7.8,PF,1675552794
83,Santa Maria,-29.6842,-53.8069,25.14,33,29,3.31,BR,1675552794
84,Nikolskoye,59.7035,30.7861,-4.0,91,99,2.94,RU,1675552795
85,Severo-Kuril'sk,50.6789,156.125,-2.6,72,100,2.62,RU,1675552795
86,Zaysan,47.4667,84.8667,-8.13,82,33,2.48,KZ,1675552795
87,Ahipara,-35.1667,173.1667,22.72,69,100,4.74,NZ,1675552796
88,Hilo,19.7297,-155.09,26.27,79,100,4.12,US,1675552796
89,Mana,5.6592,-53.7767,24.71,88,100,6.4,GF,1675552796
90,Filingué,14.3521,3.3168,25.03,16,4,1.41,NE,1675552797
91,Kitgum,3.2783,32.8867,22.61,40,85,1.45,UG,1675552797
92,Mossamedes,-15.1961,12.1522,21.46,76,71,3.25,AO,1675552797
93,San Patricio,28.017,-97.5169,20.92,60,35,4.06,US,1675552798
94,Zhigansk,66.7697,123.3711,-41.98,96,46,4.79,RU,1675552798
95,Yellowknife,62.456,-114.3525,-25.25,70,75,0.0,CA,1675552798
96,Norman Wells,65.282,-126.8329,-25.98,70,75,2.57,CA,1675552799
97,Kapaa,22.0752,-159.319,24.18,87,100,7.72,US,1675552799
98,Kinlochleven,56.7115,-4.9661,1.27,92,11,1.96,GB,1675552799
99,Tuatapere,-46.1333,167.6833,18.22,99,100,0.51,NZ,1675552799
100,Zhoucheng,35.9122,116.3117,-0.39,76,0,3.04,CN,1675552800
101,Saint Paul Harbor,57.79,-152.4072,1.73,75,40,1.54,US,1675552800
102,Geraldton,-28.7667,114.6,23.23,88,75,2.57,AU,1675552763
103,Thompson,55.7435,-97.8558,-18.91,71,75,1.54,CA,1675552801
104,Dolores,-36.3132,-57.6792,20.83,46,0,7.34,AR,1675552801
105,Mareeba,-17.0,145.4333,25.24,97,100,1.31,AU,1675552802
106,Kilindoni,-7.9139,39.6668,27.53,78,100,5.36,TZ,1675552803
107,Longyearbyen,78.2186,15.6401,-9.09,62,0,10.8,SJ,1675552634
108,São Filipe,14.8961,-24.4956,22.15,63,23,6.34,CV,1675552805
109,Maïné Soroa,13.2114,12.0241,23.33,15,60,4.09,NE,1675552806
110,Vila Velha,-20.3297,-40.2925,27.19,85,0,7.2,BR,1675552808
111,Boende,-0.2167,20.8667,25.01,73,100,1.36,CD,1675552811
112,Hermanus,-34.4187,19.2345,21.56,92,24,3.05,ZA,1675552811
113,Atuona,-9.8,-139.0333,25.93,74,30,7.73,PF,1675552813
114,Port-Cartier,50.0334,-66.8654,-19.58,71,60,7.34,CA,1675552567
115,Alofi,-19.0595,-169.9187,27.94,78,100,4.12,NU,1675552816
116,East London,-33.0153,27.9116,23.5,82,100,4.87,ZA,1675552816
117,Redcar,54.6166,-1.06,5.2,62,62,7.27,GB,1675552817
118,Grindavik,63.8424,-22.4338,2.26,93,100,9.77,IS,1675552819
119,Omiš,43.4447,16.6886,3.96,51,0,11.19,HR,1675552820
120,Otuzco,-7.9,-78.5833,10.94,89,100,2.2,PE,1675552821
121,Oranjestad,12.524,-70.027,26.97,83,20,9.26,AW,1675552823
122,Nagato,34.3833,131.2,4.6,61,31,2.19,JP,1675552824
123,Pivijay,10.4617,-74.6162,27.5,62,8,5.35,CO,1675552825
124,Nanortalik,60.1432,-45.2371,-4.68,84,99,7.49,GL,1675552826
125,Ribeira Grande,38.5167,-28.7,16.54,91,26,4.47,PT,1675552828
